1,Ray (2004)
2,Infernal Affairs (Mou gaan dou) (2002)
3,"Killer, The (Die xue shuang xiong) (1989)"
4,Hedwig and the Angry Inch (2000)
5,Dial M for Murder (1954)
6,Top Secret! (1984)
7,Lost in Austen (2008)
8,Project Almanac (2015)
9,"Red Violin, The (Violon rouge, Le) (1998)"
10,My Science Project (1985)
11,Amen. (2002)
12,Bob Roberts (1992)
13,American Reunion (American Pie 4) (2012)
14,Solaris (2002)
15,"Deer Hunter, The (1978)"
16,"Tale of Two Sisters, A (Janghwa, Hongryeon) (2003)"
17,Three Colors: Red (Trois couleurs: Rouge) (1994)
18,Fantastic Mr. Fox (2009)
19,"Officer and a Gentleman, An (1982)"
20,Monty Python and the Holy Grail (1975)
21,Louis C.K.: Chewed Up (2008)
22,To Live (Huozhe) (1994)
23,Kissing Jessica Stein (2001)
24,"Wings of Desire (Himmel über Berlin, Der) (1987)"
25,Howards End (1992)
26,Tokyo Godfathers (2003)
27,Mary Poppins (1964)
28,Once (2006)
29,Bananas (1971)
30,Gangs of New York (2002)
31,"Godfather: Part II, The (1974)"
32,Bagdad Cafe (Out of Rosenheim) (1987)
33,You Don't Mess with the Zohan (2008)
34,The Odyssey (1997)
35,Exit to Eden (1994)
36,Chungking Express (Chung Hing sam lam) (1994)
37,Fargo (1996)
38,Nobody Knows (Dare mo shiranai) (2004)
39,Devil's Playground (2002)
40,"Planes, Trains & Automobiles (1987)"
41,Snow Day (2000)
42,"General, The (1926)"
43,"Substitute, The (1996)"
44,Cinderella Man (2005)
45,"Sting, The (1973)"
46,"Babadook, The (2014)"
47,Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance) (1983)
48,We're the Millers (2013)
49,Wild Tales (2014)
50,Shampoo (1975)
51,Big Eden (2000)
52,Man on Fire (2004)
53,Blue Valentine (2010)
54,Eat Drink Man Woman (Yin shi nan nu) (1994)
55,"Trouble with Harry, The (1955)"
56,Volver (2006)
57,Monster's Ball (2001)
58,Jeremiah Johnson (1972)
59,"Tenant, The (Locataire, Le) (1976)"
60,Paths of Glory (1957)
61,Kissing Jessica Stein (2001)
62,"Assassination of Jesse James by the Coward Robert Ford, The (2007)"
63,The Lego Batman Movie (2017)
64,"Godfather, The (1972)"
65,No Man's Land (2001)
66,Room (2015)
67,Art School Confidential (2006)
68,A Quiet Place (2018)
69,"Great Dictator, The (1940)"
70,Grave of the Fireflies (Hotaru no haka) (1988)
71,Anchors Aweigh (1945)
72,Black Mirror: White Christmas (2014)
73,Modern Times (1936)
74,Chronicle (2012)
75,"Truly, Madly, Deeply (1991)"
76,12 Years a Slave (2013)
77,Matilda (1996)
78,Tea with Mussolini (1999)
79,Logan (2017)
80,"Adventures of Baron Munchausen, The (1988)"
81,"Winged Migration (Peuple migrateur, Le) (2001)"
82,Miracle (2004)
83,"Wind Rises, The (Kaze tachinu) (2013)"
84,Small Time Crooks (2000)
85,Clockwatchers (1997)
86,"Dinner Game, The (Dîner de cons, Le) (1998)"
87,"Battle of Algiers, The (La battaglia di Algeri) (1966)"
88,When a Man Loves a Woman (1994)
89,Scooby-Doo (2002)
90,"Wind Rises, The (Kaze tachinu) (2013)"
91,"Messenger: The Story of Joan of Arc, The (1999)"
92,Croupier (1998)
93,"Longest Day, The (1962)"
94,"Proposition, The (2005)"
95,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
96,"Pledge, The (2001)"
97,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"
98,Kung Fu Panda 3 (2016)
99,"Patriot, The (2000)"
100,"Wings of Desire (Himmel über Berlin, Der) (1987)"
101,Room (2015)
102,Guess Who's Coming to Dinner (1967)
103,North by Northwest (1959)
104,Airplane II: The Sequel (1982)
105,"Andalusian Dog, An (Chien andalou, Un) (1929)"
106,Krippendorf's Tribe (1998)
107,"American Tail, An (1986)"
108,Being John Malkovich (1999)
109,Small Time Crooks (2000)
110,The Lego Movie (2014)
111,Louis C.K.: Chewed Up (2008)
112,Children of Men (2006)
113,Shampoo (1975)
114,Risky Business (1983)
115,Futurama: The Beast with a Billion Backs (2008)
116,Big Business (1988)
117,Eat Drink Man Woman (Yin shi nan nu) (1994)
118,Croupier (1998)
119,Ordinary People (1980)
120,"Alamo, The (1960)"
121,Palookaville (1996)
122,"Blind Swordsman: Zatoichi, The (Zatôichi) (2003)"
123,Ordinary People (1980)
124,"Girl Who Leapt Through Time, The (Toki o kakeru shôjo) (2006)"
125,Barton Fink (1991)
